question_id,question,question_type
1,您的性别,单选题
2,年级,单选题
3,在校期间的平均月消费,单选题
4,生活费来源,单选题
5,每天吃饭的花费约为,单选题
6,每月用于零食及校外饮食的费用,单选题
7,每月购置生活用品及衣物的费用,单选题
8,每月在化妆品或护肤品方面的花费,单选题
9,每月在网络（游戏充值，直播打赏等）的花费,单选题
10,与同学或朋友间聚餐,单选题
11,是否会购买奢侈品？,单选题
12,您觉得自己的生活费,单选题
13,您的月消费占比最高的前三项是？,多选题
14,花钱方式是,单选题
15,你会使用哪些预支方式付款,多选题
16,如有预支付款习惯，你进行”超前消费“的主要目的是？,多选题
17,每月的生活费有余时，你会把它用于,多选题
18,现在的生活费是,单选题
19,您认为大学每月生活费多少比较合理,单选题
20,你目前是否有主动的理财行为（除银行存款外）？,多选题
