k,inertia,silhouette,calinski_harabasz,davies_bouldin,inertia_drop,inertia_drop_rate,elbow_score
2,14381.978824412641,0.40693919167766013,137.72370563162076,1.8589197818990746,,,
3,13072.70718962407,0.11540546207890737,121.54606418579696,2.28055165559735,1309.2716347885707,0.09103556963706219,527.9645145354207
4,12291.40006937092,0.10503661037420786,105.47480120449947,2.246023934347798,781.3071202531501,0.059766283212805436,41.293111586068335
5,11551.386060703839,0.10938722424549786,98.72021237420999,1.8916669590819015,740.0140086670817,0.060205835339387496,96.92878896129332
6,10908.30084099805,0.1153966314646118,94.30556430635026,1.8025036484058345,643.0852197057884,0.055671693104732446,100.29654570203456
7,10365.512166994296,0.11593074450079015,90.57209479781062,1.7653027707653324,542.7886740037538,0.04975923215866236,129.68238283268875
8,9952.405875823231,0.1181678650403465,86.16897435980128,1.7505432949310173,413.1062911710651,0.03985391985612363,
