date,target,actual,sarima,random_forest_lag,lstm,ensemble_mean,period
2024-04-05,total_amount,1559.2,2243.044437787341,3227.6336653869057,3052.8405819927953,2841.172895055681,test
2024-04-06,total_amount,1887.2,1953.5898865693468,4057.7545147916653,2936.822890340838,2982.722430567284,test
2024-04-07,total_amount,2519.28,2237.2563129555824,4309.893941322147,2802.877578464589,3116.6759442474395,test
2024-04-08,total_amount,6327.8,1920.1494261179719,5879.459562331347,2658.755874272858,3486.1216209073923,test
2024-04-09,total_amount,6310.58,2115.8180220212685,6145.434581230157,2500.1791860314543,3587.14392976096,test
2024-04-10,total_amount,6270.18,1979.227653298796,5856.575477539681,2332.2724454438967,3389.358525427458,test
2024-04-11,total_amount,6182.22,2242.6192722185397,5340.438017450399,2158.9720992185803,3247.343129629173,test
2024-04-12,total_amount,4991.98,2104.6967101478986,3786.590682351188,1984.0355235386435,2625.1076386792433,test
2024-04-13,total_amount,3347.3,2215.916084340643,3464.6912890602443,1809.3395271351537,2496.6489668453473,test
2024-04-14,total_amount,3277.5,2123.449817284729,4662.021287373734,1636.5914800835467,2807.354194914003,test
2024-04-15,total_amount,6507.9,2200.5906886173516,6082.561973075395,1464.2762063173898,3249.1429560033794,test
2024-04-16,total_amount,5763.68,2138.1635905331495,6129.784538941197,1292.6709006630988,3186.8730100458147,test
2024-04-17,total_amount,6397.78,2188.7487272048693,6038.186882562229,1127.8201141750628,3118.2519079807203,test
2024-04-18,total_amount,5797.29,2144.55882574094,5455.053601736113,972.817323874767,2857.47658378394,test
2024-04-19,total_amount,,6263.550331851289,5246.588638075399,5284.95549206932,5598.364820665335,future
2024-04-20,total_amount,,6017.059478242564,3464.2590294282113,5034.513834080629,4838.610780583801,future
2024-04-21,total_amount,,6308.890040007584,3448.865425912703,4839.676902271401,4865.810789397229,future
2024-04-22,total_amount,,5889.856562073997,6378.5200513392865,4679.891571505976,5649.42272830642,future
2024-04-23,total_amount,,6113.560994356639,6200.573675521285,4540.512089591144,5618.2155864896895,future
2024-04-24,total_amount,,5926.754962550337,6134.805040178572,4414.962203677652,5492.174068802186,future
2024-04-25,total_amount,,6084.728246398752,5762.164315188489,4298.522185081402,5381.804915556215,future
2024-04-26,total_amount,,5956.68731329862,5297.554187926588,4188.880554895487,5147.707352040233,future
2024-04-27,total_amount,,6061.3607225053465,3481.716427947332,4085.232104445434,4542.769751632703,future
2024-04-28,total_amount,,5973.733905682381,3452.9620659722254,3986.6724620425957,4471.122811232401,future
2024-04-29,total_amount,,6047.831268397344,6353.511630069446,3891.3223296818783,5430.888409382889,future
2024-04-30,total_amount,,5987.374644439534,6359.738108888891,3797.1567622751363,5381.423171867853,future
2024-05-01,total_amount,,6037.4513589013295,6127.295898072338,3705.557682573913,5290.10164651586,future
2024-05-02,total_amount,,5995.882517148978,5635.270786458328,3615.9597534173,5082.371019008202,future
2024-04-05,transaction_count,386.0,513.219085792663,886.7437400793654,744.5771309531391,714.8466522750558,test
2024-04-06,transaction_count,475.0,458.09950866094863,980.804255050505,709.6203869931098,716.1747169015212,test
2024-04-07,transaction_count,663.0,495.55009136402504,967.9862798520926,676.8331792976151,713.456516837911,test
2024-04-08,transaction_count,1543.0,479.5320875771374,1367.1698402777786,641.5271170559643,829.4096816369602,test
2024-04-09,transaction_count,1514.0,504.5867054961692,1486.1373055555557,601.2161811812996,863.9800640776748,test
2024-04-10,transaction_count,1550.0,478.7552103580881,1453.5406031746033,557.1030367666757,829.7996167664556,test
2024-04-11,transaction_count,1530.0,473.26199881746686,1300.8180823412704,510.5799278764637,761.5533363450671,test
2024-04-12,transaction_count,1254.0,459.8048994065507,988.6530505952385,462.9431097301254,637.1336865773048,test
2024-04-13,transaction_count,880.0,469.24898994477974,868.9071260822512,415.0146551647742,584.3902570639351,test
2024-04-14,transaction_count,816.0,459.93470846563844,1005.6971161616162,367.55203212702514,611.06128558476,test
2024-04-15,transaction_count,1676.0,470.26908776175475,1377.9180228174603,320.6247600272856,722.9372902021669,test
2024-04-16,transaction_count,1450.0,463.0698829839162,1476.6599789377294,274.65301869687806,738.1276268728412,test
2024-04-17,transaction_count,1576.0,468.53479112483063,1490.3616349206347,231.11642176823818,730.0042826045678,test
2024-04-18,transaction_count,1430.0,459.9387953586132,1300.2684226190481,191.10858419425094,650.4386007239708,test
2024-04-19,transaction_count,,1471.616666422512,1277.1339583333329,1303.6306704228696,1350.7937650595716,future
2024-04-20,transaction_count,,1382.0370673943141,866.5844484126978,1230.516110656434,1159.7125421544818,future
2024-04-21,transaction_count,,1426.3377540439972,884.5522628968251,1188.0082968315262,1166.2994379241163,future
2024-04-22,transaction_count,,1475.1654463415778,1560.1966369047618,1163.6203407944358,1399.6608080135918,future
2024-04-23,transaction_count,,1495.513476990162,1502.616748778998,1144.931450741665,1381.0205588369417,future
2024-04-24,transaction_count,,1473.3443881946898,1506.8765823412707,1126.2626459309267,1368.827872155629,future
2024-04-25,transaction_count,,1486.8006079521128,1391.3351249999996,1105.4167056901995,1327.8508128807707,future
2024-04-26,transaction_count,,1463.3783914516534,1260.7624593253965,1082.9977940269275,1269.0462149346592,future
2024-04-27,transaction_count,,1470.781084437005,891.4574445346315,1060.4688717970741,1140.9024669229036,future
2024-04-28,transaction_count,,1457.1015280609101,889.3905487012985,1038.4231887777503,1128.3050885133198,future
2024-04-29,transaction_count,,1489.0013662474141,1552.9841498015883,1016.2676631318317,1352.7510597269447,future
2024-04-30,transaction_count,,1475.6351118024093,1532.3233489774111,992.7155052233159,1333.5579886677122,future
2024-05-01,transaction_count,,1486.033154724672,1469.848307310745,968.7450086280686,1308.2088235544952,future
2024-05-02,transaction_count,,1475.8735961355071,1332.7425178571423,944.2254579563523,1250.9471906496672,future
