cluster,total_amount,txn_count,avg_amount,amount_cv,active_days,txn_per_active_day,merchant_count,merchant_entropy_norm,meal_amount_breakfast_share,meal_amount_lunch_share,meal_amount_dinner_share,meal_amount_late_night_share,pay_amount_scan_pay_share,weekend_amount_share,merchant_amount_staple_share,merchant_amount_dish_share,merchant_amount_fruit_share,students,student_share,cluster_name
0,83.46685714285715,20.3,4.013097923413136,0.4001017554416462,9.557142857142857,2.120876754459572,2.6142857142857143,0.4877503252208101,0.6483308246513813,0.1654397431062423,0.18138681723026984,0.004842615012106537,0.5522871035176918,0.20925648801419866,0.5956616788489294,0.1886762390693126,0.21203734860627826,70,0.07616974972796518,类3-低消费
1,1102.44558685446,278.2957746478873,4.0057667501360195,0.8051989507585195,60.051643192488264,4.5515634686654165,7.643192488262911,0.6574958599038377,0.13103066893561524,0.49351796655372576,0.3739538439458432,0.0014975205648158076,0.39148378384941995,0.2145742837584604,0.2652003810091999,0.6789201618441909,0.04657998499748413,426,0.46354733405875953,类1-高消费
2,261.9274231678487,59.28132387706856,4.489878486891766,0.7585163674870686,18.926713947990542,3.278355983762121,5.033096926713948,0.6671705069664114,0.12408445461532357,0.5121713375233308,0.3622903342286003,0.001453873632745382,0.6394895903248112,0.19469779425102404,0.21672849273985328,0.7077760808199769,0.06293140291273788,423,0.4602829162132753,类2-中消费
